exp,problem,cfg,seed,method,theta,iters,phase1_iters,phase2_iters,fevals,gevals,hevals,hvevals,time_s,gnorm,fval,converged,switched,switched_at_gnorm,probes_failed,rho_hat,decisions,probes_fired,error
E7,quadratic,kappa1000.0-n1000,7,Hybrid-fixed,0.2,189,189,0,1,192,1,0,0.324,6.445171948358827e-12,-75918.72034491594,1,1,0.20419322570633347,0,,,,
E7,quadratic,kappa1000.0-n1000,8,Hybrid-fixed,0.2,187,187,0,1,190,1,0,0.364,6.643792345737339e-12,-75918.72034491597,1,1,0.20388189147782826,0,,,,
E7,quadratic,kappa1000.0-n1000,9,Hybrid-fixed,0.2,187,187,0,1,190,1,0,0.397,6.668892381119611e-12,-75918.72034491596,1,1,0.20000864061482754,0,,,,
E7,quadratic,kappa1000.0-n1000,0,Hybrid-fixed,0.1,206,206,0,1,209,1,0,0.493,6.378599612519798e-12,-75918.72034491596,1,1,0.10282146653753506,0,,,,
E7,quadratic,kappa1000.0-n1000,1,Hybrid-fixed,0.1,206,206,0,1,209,1,0,0.343,6.451606746473375e-12,-75918.72034491597,1,1,0.10284170450716038,0,,,,
E7,quadratic,kappa1000.0-n1000,2,Hybrid-fixed,0.1,208,208,0,1,211,1,0,0.409,6.277215794659385e-12,-75918.72034491596,1,1,0.10002522188198203,0,,,,
E7,quadratic,kappa1000.0-n1000,3,Hybrid-fixed,0.1,205,205,0,1,208,1,0,0.452,6.610489243319273e-12,-75918.72034491599,1,1,0.1005427216579933,0,,,,
E7,quadratic,kappa1000.0-n1000,4,Hybrid-fixed,0.1,205,205,0,1,208,1,0,0.484,6.5717405829066305e-12,-75918.72034491597,1,1,0.09997608603027572,0,,,,
E7,quadratic,kappa1000.0-n1000,5,Hybrid-fixed,0.1,206,206,0,1,209,1,0,0.456,6.614341200592495e-12,-75918.72034491594,1,1,0.10118292047979766,0,,,,
E7,quadratic,kappa1000.0-n1000,6,Hybrid-fixed,0.1,204,204,0,1,207,1,0,0.469,6.26801902455371e-12,-75918.72034491599,1,1,0.10195855005776937,0,,,,
E7,quadratic,kappa1000.0-n1000,7,Hybrid-fixed,0.1,206,206,0,1,209,1,0,0.461,6.583135307950798e-12,-75918.72034491597,1,1,0.10227543449442714,0,,,,
E7,quadratic,kappa1000.0-n1000,8,Hybrid-fixed,0.1,205,205,0,1,208,1,0,0.422,6.567334178299898e-12,-75918.72034491594,1,1,0.10237668866039377,0,,,,
E7,quadratic,kappa1000.0-n1000,9,Hybrid-fixed,0.1,203,203,0,1,206,1,0,0.462,6.479275390512021e-12,-75918.72034491594,1,1,0.1028072245569203,0,,,,
E7,quadratic,kappa1000.0-n1000,0,Hybrid-fixed,0.01,275,275,0,1,278,1,0,0.542,6.2691455763775595e-12,-75918.72034491596,1,1,0.010224210939994871,0,,,,
E7,quadratic,kappa1000.0-n1000,1,Hybrid-fixed,0.01,276,276,0,1,279,1,0,0.564,6.382991709369164e-12,-75918.72034491596,1,1,0.01009704635453476,0,,,,
E7,quadratic,kappa1000.0-n1000,2,Hybrid-fixed,0.01,275,275,0,1,278,1,0,0.494,6.779059011458749e-12,-75918.72034491596,1,1,0.010193568045897133,0,,,,
E7,quadratic,kappa1000.0-n1000,3,Hybrid-fixed,0.01,273,273,0,1,276,1,0,0.504,6.634518724174096e-12,-75918.72034491597,1,1,0.009951245745510344,0,,,,
E7,quadratic,kappa1000.0-n1000,4,Hybrid-fixed,0.01,273,273,0,1,276,1,0,0.602,6.853347678330318e-12,-75918.72034491596,1,1,0.010255571098265715,0,,,,
E7,quadratic,kappa1000.0-n1000,5,Hybrid-fixed,0.01,273,273,0,1,276,1,0,0.595,6.463079499882621e-12,-75918.72034491596,1,1,0.010260734657987934,0,,,,
E7,quadratic,kappa1000.0-n1000,6,Hybrid-fixed,0.01,272,272,0,1,275,1,0,0.517,6.654569394566036e-12,-75918.72034491599,1,1,0.010239164092204177,0,,,,
E7,quadratic,kappa1000.0-n1000,7,Hybrid-fixed,0.01,275,275,0,1,278,1,0,0.37,6.91350414124692e-12,-75918.72034491596,1,1,0.010044191368162347,0,,,,
E7,quadratic,kappa1000.0-n1000,8,Hybrid-fixed,0.01,274,274,0,1,277,1,0,0.416,6.602339624896401e-12,-75918.72034491597,1,1,0.010067174816738926,0,,,,
E7,quadratic,kappa1000.0-n1000,9,Hybrid-fixed,0.01,272,272,0,1,275,1,0,0.557,6.542152222155115e-12,-75918.720344916,1,1,0.009993449423025786,0,,,,
E7,quadratic,kappa1000.0-n1000,0,Hybrid-fixed,0.0025118864315095794,315,315,0,1,318,1,0,0.607,6.48775834558584e-12,-75918.72034491596,1,1,0.0025828880035079728,0,,,,
E7,quadratic,kappa1000.0-n1000,1,Hybrid-fixed,0.0025118864315095794,316,316,0,1,319,1,0,0.614,6.511143372091923e-12,-75918.72034491596,1,1,0.002583052252834852,0,,,,
E7,quadratic,kappa1000.0-n1000,2,Hybrid-fixed,0.0025118864315095794,316,316,0,1,319,1,0,0.6,6.636823843324542e-12,-75918.72034491596,1,1,0.0025342329610077473,0,,,,
E7,quadratic,kappa1000.0-n1000,3,Hybrid-fixed,0.0025118864315095794,310,310,0,1,313,1,0,0.672,6.341270730897835e-12,-75918.720344916,1,1,0.002502567124619625,0,,,,
E7,quadratic,kappa1000.0-n1000,4,Hybrid-fixed,0.0025118864315095794,313,313,0,1,316,1,0,0.57,6.425106015950544e-12,-75918.72034491597,1,1,0.0025278586643236664,0,,,,
E7,quadratic,kappa1000.0-n1000,5,Hybrid-fixed,0.0025118864315095794,314,314,0,1,317,1,0,0.544,6.47573072441095e-12,-75918.72034491597,1,1,0.0025414379336123586,0,,,,
E7,quadratic,kappa1000.0-n1000,6,Hybrid-fixed,0.0025118864315095794,312,312,0,1,315,1,0,0.489,6.6050730467530556e-12,-75918.72034491596,1,1,0.0025071102506598287,0,,,,
E7,quadratic,kappa1000.0-n1000,7,Hybrid-fixed,0.0025118864315095794,314,314,0,1,317,1,0,0.533,6.599940945970499e-12,-75918.72034491597,1,1,0.0025481467925458283,0,,,,
E7,quadratic,kappa1000.0-n1000,8,Hybrid-fixed,0.0025118864315095794,313,313,0,1,316,1,0,0.702,6.547323596279957e-12,-75918.72034491596,1,1,0.0025868775561544827,0,,,,
E7,quadratic,kappa1000.0-n1000,9,Hybrid-fixed,0.0025118864315095794,312,312,0,1,315,1,0,0.648,6.60528491674927e-12,-75918.72034491594,1,1,0.002507796029181606,0,,,,
